Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
Gain Protocol GAIN GAIN,"$0,000004260707",,-6.5%,-2.2%,"$1 830,11",?
Pixiu Finance PIXIU PIXIU,"$0,053165188100",0.3%,-0.0%,0.2%,"$22,65",?
ClienteleCoin CLT CLT,"$0,000000018103",,0.0%,8.4%,"$0,000000000000",?
Restaurant DeFi RES RES,"$0,001358087711",?,?,?,?,?
Yamp Finance YAMP YAMP,"$0,007136143690",0.0%,4.3%,18.1%,"$19 432,41",?
Foxy Equilibrium FOXY FOXY,"$0,047557483481",-0.9%,-11.6%,-44.8%,"$6 770,43",?
Oxbull Solana OXS OXS,"$1,03",-0.4%,8.0%,38.3%,$576 613,?
Baby Matic BABYMATIC BABYMATIC,"$0,000000753159",,-10.4%,-5.5%,"$13,96",?
FibSwap DEX FIBO FIBO,"$0,003745941701",0.2%,-9.4%,-28.8%,$203 678,?
Diamond Boyz Coin DBZ DBZ,"$0,048346939668",2.2%,-9.9%,-4.5%,$1 441 135,?
Attlas Token ATS ATS,"$0,024808144879", ?,?,?,?,?
Moon Rabbit AAA AAA,"$0,001990682501",2.3%,2.4%,-1.6%,$186 702,?
MyBricks BRICKS BRICKS,"$0,022543145195",1.1%,-4.0%,1.9%,$69 735,?
Safe Trip Finance STF STF,"$0,057822088660",0.1%,-12.7%,-6.0%,"$6 247,72",?
PolyPlay PLAY PLAY,"$17,11",0.4%,0.6%,23.0%,$28 605 400,?
Support Doge SUPD SUPD,"$0,000000000172",0.0%,-6.2%,-7.8%,"$76,05",?
Future FTR FTR,"$4,07",3.7%,1.3%,-35.7%,"$782,36",?
CoinBurp BURP BURP,"$0,099123738897",-0.1%,-7.4%,7.6%,$333 927,?
KittyCake KCAKE KCAKE,"$0,000001900005",,-6.3%,-8.9%,"$1 019,83",?
Ninja Doge $NINJADOGE $NINJADOGE,"$0,000000001367",,8.5%,7.2%,$50 975,?
LCMS LCMS LCMS,"$0,275911",-2.2%,-7.8%,-19.9%,$76 737,?
Aster ATC ATC,"$0,017829134332",,6.7%,-8.3%,"$20,38",?
Smart Medical Coin SMC SMC,"$0,000023525247",17.1%,28.7%,60.1%,"$695,34",?
Blockchain-Based Distributed Super Computing Platform MBCC MBCC,"$0,000599710687",0.0%,19.3%,-25.0%,"$360,06",?
Alita Network ALITA ALITA,"$0,000113016861",,-34.2%,-37.2%,"$49,88",?
Dappatoz DCASH DCASH,"$0,103489",,-17.6%,-26.1%,"$78,06",?
Sparkle Coin SCTK SCTK,"$0,574618",,1.1%,-7.3%,"$691,24",?
Binamars BMARS BMARS,"$0,009595370266",0.6%,-6.6%,-25.6%,"$4 572,97",?
Baby Link BABYLINK BABYLINK,"$0,000000138591",?,?,?,?,?
CryptoZoo ZOO ZOO,"$0,000093536138",1.5%,-5.7%,-5.4%,$896 530,?
GCNX Token GCNX GCNX,"$0,000809232578",?,?,?,?,?
Cannumo CANU CANU,"$0,004130469250",0.0%,-6.1%,-20.9%,"$159,21",?
PureFi UFI UFI,"$0,079561904517",-0.0%,-18.6%,10.2%,$67 205,?
Pharma Pay Coin PRP PRP,"$0,001014885742",-3.7%,0.0%,-10.0%,$40 220,?
BunnyCake BUNNYCAKE BUNNYCAKE,"$0,000000000741",,-6.3%,-5.9%,"$31,76",?
BabyBake BABYBAKE BABYBAKE,"$0,000001573925",?,?,?,?,?
EZDex EZX EZX,"$0,297983",0.9%,-0.7%,0.1%,$38 295,?
Wifedoge WIFEDOGE WIFEDOGE,"$0,000000000019",2.1%,6.0%,-8.2%,$69 332,?
bChain BCHAIN BCHAIN,"$1,97",,10.2%,11.3%,"$199,53",?
bDeFi BDEFI BDEFI,"$1,45",,5.3%,,"$355,77",?
bStable BSTBL BSTBL,"$1,02",,5.6%,,"$111,32",?
Baby Poocoin BABYPOO BABYPOO,"$0,000228397933",0.3%,-6.0%,-4.4%,"$346,20",?
BabyBackDOGE BBDOGE BBDOGE,"$0,000000000466",?,?,?,?,?
Good Token GOOD GOOD,"$0,000000000112",?,?,?,?,?
Weble Ecosystem Token WET WET,"$3,11",0.5%,-11.2%,-2.7%,$38 149,?
Football Fantasy Pro FANTA FANTA,"$0,005589240564",,-6.7%,-11.1%,"$223,03",?
Yinbi YINBI YINBI,"$0,000414142132",-0.8%,-0.3%,-2.2%,$607 981,?
LMAO Finance LMAO LMAO,"$0,044648175227",?,?,?,?, ?
BabyUni BABYUNI BABYUNI,"$0,000001052205",,-11.2%,-11.4%,"$2 084,00",?
FireStarter FLAME FLAME,"$1,18",-0.9%,7.2%,14.0%,$3 352 756,?
The Kraken KRKN KRKN,"$0,000000256825",?,?,?,?,?
Peaches.Finance PCHS PCHS,"$0,003203649409",?,?,?,?,?
INVI Token INVI INVI,"$2,43",0.4%,-0.9%,-1.3%,$38 971,?
PolygonFarm Finance SPADE SPADE,"$0,495403",0.5%,-4.8%,-35.8%,"$16 840,81",?
MetaFinance MFI MFI,"$247,68",0.5%,6.2%,7.8%,"$13 481,96",?
Bunicorn BUNI BUNI,"$0,174277",0.4%,-13.7%,-31.7%,$158 012,?
ZKCHAOS CHAOS CHAOS,"$0,121778",?,?,?,?,?
Benzene BZN BZN,"$19,87",1.4%,-22.2%,75.1%,$1 347 032,?
Baby Dogo Coin BABYDOGO BABYDOGO,"$0,000000000002",18.1%,197.3%,263.6%,$107 334,?
BabyBUSD BABYBUSD BABYBUSD,"$0,000000533476",,-7.1%,-10.8%,"$287,70",?
DogeCola DOGECOLA DOGECOLA,"$0,000000014715",2.4%,30.7%,45.8%,$961 681,?
Pyram Token PYRAM PYRAM,"$0,031973007617",0.7%,-5.1%,-15.2%,"$7 413,79",?
pSwampy PSWAMP PSWAMP,"$0,199881",1.4%,-13.4%,-31.7%,"$4 988,93",?
Volatility Protocol Token VOL VOL,"$0,525286",,,4.3%,"$3 785,23",?
PancakeLock PLOCK PLOCK,"$0,020554308299",-0.7%,16.4%,1.8%,"$10 893,06",?
1-UP 1-UP 1-UP,"$0,148505",-0.2%,-18.8%,190.9%,$800 530,?
PinkSale PINKSALE PINKSALE,"$67,86",1.0%,-13.0%,-26.6%,"$16 501,82",?
DaFIN DAF DAF,"$0,400927",-0.5%,-2.0%,-15.3%,$1 266 430,?
YeFi YEFI YEFI,"$2,70",1.0%,8.5%,52.4%,$27 216,?
Baby Satoshi SATS SATS,"$0,000593536523",1.1%,-5.0%,-8.0%,$539 699,?
JOJO JOJO JOJO,"$0,000289272848",-1.4%,-7.4%,15.5%,$270 618,?
Kirby Reloaded $KIRBYRELOADED $KIRBYRELOADED,"$0,007120838464",?,?,?,?,?
Hippo Token HIP HIP,"$0,000005726650",0.4%,-7.5%,-25.4%,$47 805,?
Five7 F7 F7,"$0,000012925487",?,?,?,?,?
Bitrise Token BRISE BRISE,"$0,000000069945",12.3%,67.7%,-38.7%,$325 533,?
Wrapped ILCOIN WILC WILC,"$0,003488933296",?,?,?,?,?
FlowCom FIG FIG,"$0,030998313878",,6.4%,-33.2%,$42 648,?
Victorum VCC VCC,"$0,026947993036",0.3%,-2.8%,28.9%,"$222,60",?
CityStates Medieval CSM CSM,"$0,010605526740",0.9%,-27.6%,-13.3%,"$6 286,88",?
Toddler Inu TODINU TODINU,"$0,000000000130",?,?,?,?,?
YocoinYOCO YOCO YOCO,"$0,017636968589",0.5%,-7.5%,-11.2%,"$12 541,22",?
Meowshi MEOW MEOW,"$0,000155417326",?,?,?,?,?
Tetra Pay TPAY TPAY,"$0,000099819597",,-0.6%,-0.2%,"$217,90",?
Psycho Doge PSYCHODOGE PSYCHODOGE,"$0,000000000003",,-8.9%,-11.0%,"$3 362,02",?
CheCoin CHECOIN CHECOIN,"$0,000009906239",1.0%,-3.8%,-10.1%,"$7 423,09",?
FatCake FATCAKE FATCAKE,"$0,000011351846",1.1%,-18.7%,40.4%,$74 517,?
BankEth BANKETH BANKETH,"$0,001460367144",,-5.0%,-7.3%,"$7 166,42",?
BabyLink BBLINK BBLINK,"$0,000000251112",,-7.3%,-6.5%,"$81,07",?
ViceToken VICEX VICEX,"$0,000000021420",?,?,?,?,?
BabyDogeCake BDC BDC,"$0,000000063530",?,?,?,?,?
Electric Vehicle Direct Currency EVDC EVDC,"$0,000000001540",0.0%,177.6%,8751.6%,"$0,000000000000",?
BUGG Finance BUGG BUGG,"$0,009751443622",-10.5%,-11.6%,-34.3%,$77 834,?
TrustBase TBE TBE,"$0,006900637272",-0.3%,-19.0%,11.2%,$163 453,?
O2OX O2OX O2OX,"$0,369216",1.6%,-3.4%,-2.8%,"$14 466,16",?
Belrium BEL BEL,"$4,24",0.3%,-0.4%,0.6%,$135 935,?
Meme Lordz $LORDZ $LORDZ,"$0,119856",-0.1%,-6.4%,-2.3%,$154 123,?
King Of The Doge KOTDOGE KOTDOGE,"$0,000007167178",?,?,?,?,?
BitBase Token BTBS BTBS,"$0,507084",-0.9%,-1.0%,-4.4%,"$13 042,09",?
NEXTYPE Finance NT NT,"$0,123236",1.5%,-8.9%,-22.8%,$217 804,?
Save Ralph RALPH RALPH,"$0,000000001228",0.0%,0.0%,-5.8%,"$0,000000000000",?
Fanadise FAN FAN,"$0,034182638793",0.0%,-2.3%,-36.1%,$85 639,?
NinjaSwap NINJA NINJA,"$0,129128",?,?,?,?,?
X22 X22 X22,"$0,215385",-0.1%,-1.5%,-15.4%,"$12 007,86",?
Token dForce USD USX USX,"$1,02",0.5%,1.9%,2.2%,$70 838,?
dForce ETH XETH XETH,"$4 039,51",?,?,?,?,?
Royal Doge RDOGE RDOGE,"$0,004167579640",0.3%,-10.5%,-23.5%,"$6 195,12",?
Polycorn Finance YCORN YCORN,"$0,001459803914",-0.6%,-2.2%,-15.9%,"$157,20",?
SafeVault VAULT VAULT,"$0,000001590295",1.0%,-8.6%,-21.1%,"$14 661,87",?
Earnable EARN EARN,"$0,000000001215",-1.3%,-5.9%,4.0%,"$846,86",?
Spores Network SPO SPO,"$0,018157899754",1.0%,-5.2%,-16.0%,$120 485,?
Bimp Finance BIMP BIMP,"$0,000000000408",-0.1%,-9.4%,-15.9%,"$3 357,21",?
Gold Pegas GDP GDP,"$0,000043449440",,-1.7%,-2.0%,"$24,78",?
Hamaru MARU MARU,"$0,000189350758",,-7.8%,-9.5%,"$21,53",?
Wrapped Wit EWIT EWIT,"$0,030020453775",?,?,?,?,?
Rewards RWD RWD,"$0,003978921222",,-7.4%,-4.0%,"$416,27",?
DeRace DERC DERC,"$3,20",1.7%,2.0%,20.6%,$7 165 430,?
King Baby Doge KBD KBD,"$0,000000000139",?,?,?,?,?
Metaseer METAS METAS,"$0,124587",0.0%,-8.5%,23.7%,$23 250,?
Only 1 Token O1T O1T,$345 869,-0.0%,-5.6%,-3.7%,"$448,53",?
Mini Shiba MINISHIBA MINISHIBA,"$0,000000011214",?,?,?,?,?
South African Tether XZAR XZAR,"$0,066893369661",?,?,?,?,?
Carbon Coin CBC CBC,"$0,000000001561",-0.0%,-1.6%,-13.9%,"$18 119,97",?
Sea Swap Global SSG SSG,"$0,080803300319",?,?,?,?,?
Haven Token HAVEN HAVEN,"$0,018945679108",?,?,?,?,?
Cocktail COCKTAIL COCKTAIL,"$0,000347014323",?,?,?,?,?
CyberDoge CYBRRRDOGE CYBRRRDOGE,"$0,000000000008",,-6.2%,-7.3%,"$56,15",?
EveryApe EVAPE EVAPE,"$0,000000000997",,-7.9%,-15.8%,"$2 025,89",?
Baby Jeju BBJEJU BBJEJU,"$0,000021135250",?,?,?,?,?
Schnoodle SNOOD SNOOD,"$0,000089114563",-2.1%,-10.5%,143.6%,$681 567,?
Intersola ISOLA ISOLA,"$0,250059",0.2%,-8.6%,-25.8%,$25 647,?
Kaiken Shiba KSHIB KSHIB,"$0,000000000011",4.7%,242.4%,188.9%,$2 268 496,?
Nasa Doge NASADOGE NASADOGE,"$0,000275622343",1.6%,-8.9%,374.6%,$739 301,?
Early Bird EBIRD EBIRD,"$0,000000000508",0.1%,-6.5%,-2.2%,"$574,80",?
NUTS Gaming NUTSG NUTSG,"$0,000000001724",1.0%,-6.9%,-7.4%,"$1 043,66",?
Tesla Inu TESINU TESINU,"$0,000000000027",,-17.4%,-33.7%,"$19 237,04",?
Ownix ONX ONX,"$4,24",0.4%,1.7%,16.8%,$33 649,?
polyWAVE WAVE WAVE,"$0,059625672452",-2.2%,-9.0%,100.1%,"$2 855,67",?
xNFT Protocol XNFT XNFT,"$0,083682405972",0.1%,1.4%,-11.3%,$76 581,?
Pup Doge PUPDOGE PUPDOGE,"$0,000000001258",0.1%,-5.6%,-8.6%,"$1 561,75",?
Bantu XBN XBN,"$0,018568090105",,-0.2%,-5.8%,"$46,32",?
Feichang Niu FCN FCN,"$0,000000004191",0.8%,-12.9%,11.3%,"$2 920,38",?
Nano Dogecoin INDC INDC,"$0,000000012933",-0.0%,-11.0%,-39.6%,$110 337,?
CoinSwap Space CSS CSS,"$1,55",0.6%,-3.4%,-10.2%,"$8 705,97",?
Cudl Finance CUDL CUDL,"$2,20",-0.9%,-10.9%,-37.6%,"$2 834,92",?
DogemonGo DOGO DOGO,"$0,000068601885",0.3%,-6.4%,5.2%,$136 490,?
Digital Standard Unit DSU DSU,"$1,00",?,?,?,?,?
C Token C C,"$0,000000002435",-6.5%,-9.6%,-11.5%,"$194,22",?
NFTLegends NFL NFL,"$0,031832698240",,-6.6%,-8.9%,"$1,99",?
Biswap Token BISWAP BISWAP,"$0,000001190101",5.4%,1.1%,17.9%,$45 655,?
Mage Doge MGDG MGDG,"$0,000000000217",?,?,?,?,?
LiveTrade Token LTD LTD,"$0,036335008177",1.2%,-63.0%,-68.6%,"$1 878,33",?
Ruby Currency RBC RBC,"$0,467393",?,?,?,?,?
SkyX Token SKYX SKYX,"$0,007670458030",,-6.2%,-20.3%,"$1,46",?
Vention VENTION VENTION,"$0,002545583322",0.2%,-4.5%,-10.4%,"$6 164,02",?
Mktcash MCH MCH,"$0,000280933820",?,?,?,?,?
Baby Pancake BPCAKE BPCAKE,"$0,000000376157",,-5.6%,-9.5%,"$15,62",?
CherrySwap CHE CHE,"$0,618363",0.6%,-8.9%,-26.3%,$3 157 893,?
PapaCake PAPACAKE PAPACAKE,"$0,000000000533",,-4.5%,-5.9%,"$28,97",?
Griffin Art GART GART,"$0,000087430797",-0.2%,-8.2%,28.0%,$92 875,?
Reborn Dollar REBD REBD,"$0,002283107402",?,?,?,?,?
Wallet Swap WSWAP WSWAP,"$0,000000242314",2.2%,-2.2%,-10.5%,$48 049,?
BabySatoshi BSATOSHI BSATOSHI,"$0,000150664397",?,?,?,?,?
NFT Starter NST NST,"$0,000008712199",-8.6%,-4.7%,-37.8%,$450 807,?
Crude Token CRUDE CRUDE,"$8,42",0.1%,-21.6%,-33.5%,"$13 959,79",?
Moonpot POTS POTS,"$3,11",2.5%,-9.4%,-20.6%,$624 284,?
Widecoin WCN WCN,"$0,002314551168",?,?,?,?,?
Wrapped Widecoin WWCN WWCN,"$2,93",?,?,?,?,?
Klear Finance KLEAR KLEAR,"$0,000000000001",0.0%,0.0%,0.0%,"$0,000000000000",?
MicroSHIBA MICROSHIB MICROSHIB,"$0,000000000471",1.0%,10.5%,23.9%,"$11 215,20",?
EmiSwap ESW ESW,"$0,028028125340",0.8%,-15.0%,-21.2%,$41 096,?
cYFI CYFI CYFI,"$715,02",?,?,?,?,?
GÜ GÜ GÜ,"$0,270157",,2.5%,-6.1%,"$1 091,79",?
StarShip Token STARS STARS,"$0,000000229020",-0.5%,-10.0%,93.4%,$53 603,?
Cycan Network CYN CYN,"$0,268969",-0.8%,3.8%,8.4%,"$4 631,52",?
MUSO Finance MUSO MUSO,"$0,000000000921",-0.1%,-10.8%,-15.7%,"$5 099,43",?
Beatify SONG SONG,"$0,009680941390",-0.1%,-0.6%,13.1%,"$1 098,71",?
EthereumVault EVAULT EVAULT,"$0,000330671695",?,?,?,?,?
Royal BNB RB RB,"$0,000000013787",-0.4%,-9.4%,-26.7%,"$982,61",?
Dogecoin 2.0 DOGE2 DOGE2,"$0,042409655058",7.2%,-15.1%,-17.2%,$118 268,?
Baby ADA BABYADA BABYADA,"$0,000001182104",1.0%,-4.2%,-24.5%,"$1 580,99",?
Ethereum Gas Limit EGL EGL,"$0,060903706099",,-3.1%,4.8%,"$2 006,15",?
Super Heavy Booster 4 SHB4 SHB4,"$0,000000000001",?,?,?,?,?
CoPuppy CP CP,"$0,291429",0.4%,-9.3%,-40.0%,$823 268,?
BabySun BABYSUN BABYSUN,"$0,000138770224",,-6.0%,-6.8%,"$7,39",?
KogeCoin KOGECOIN KOGECOIN,"$0,358983",-0.1%,-6.6%,-34.3%,$240 649,?
CFL365 Finance CFL365 CFL365,"$0,002054657185",0.3%,-1.8%,-22.6%,"$2 202,85",?
HoneyFarm Finance HONEY HONEY,"$8,79",8.2%,-1.6%,-29.0%,$21 475,?
BinStarter BSR BSR,"$1,75",0.8%,4.5%,5.9%,$750 902,?
Puppy Doge PUPPY PUPPY,"$0,000000000212",,-7.2%,-7.8%,"$564,15",?
Helios Charts $SOL $SOL,"$0,001535581850",-0.7%,-7.1%,-15.6%,"$950,27",?
Ball Token BALL BALL,"$0,951394",-0.6%,-5.5%,-28.7%,"$6 913,16",?
PolyYork YORK YORK,"$0,055917234998",,0.0%,-0.7%,"$6,70",?
SnoopDoge SNOOP SNOOP,"$0,000090989219",?,?,?,?,?
Grind Token GRIND GRIND,"$0,000003850858",?,?,?,?,?
Rewards Token REWARDS REWARDS,"$0,000000000038",,-6.0%,-2.0%,"$49,77",?
Firulais FIRU FIRU,"$0,000000000031",-0.5%,9.4%,59.3%,$56 635,?
Infinity Token IT IT,"$0,001992746533",-0.5%,3.8%,134.4%,$113 619,?
Drife DRF DRF,"$0,009683115404",1.2%,-18.1%,-34.6%,$146 186,?
Doge Strap DRAP DRAP,"$0,000000040658",-0.3%,-32.5%,-71.0%,$44 392,?
Baby Shiba Rocket BSHIBR BSHIBR,"$0,000000000273",,-8.3%,-11.5%,"$1 009,73",?
BUMooN BUMN BUMN,"$0,000000005079",0.3%,-6.1%,-1.0%,$70 945,?
MaidCoin $MAID $MAID,"$10,14",0.7%,-5.2%,-20.4%,$22 147,?
NftyPlay POLO POLO,"$0,004103302805",1.1%,-4.1%,-8.3%,$501 495,?
Alpha Kombat ALKOM ALKOM,"$0,000592829504",0.1%,-13.8%,-20.8%,"$14 881,32",?
LoserChick EGG EGG EGG,"$0,403444",-6.8%,19.6%,31.2%,$21 748,?
Wrapped OKT WOKT WOKT,"$57,19",4.4%,-2.1%,-3.7%,$2 084 155,?
BabySafeMoon BSFM BSFM,"$0,006708283096",1.1%,-3.6%,-5.4%,$177 730,?
DeFine DFA DFA,"$1,71",-1.8%,-17.3%,-4.5%,$63 195 685,?
MCN Ventures MCN MCN,"$78,14",?,?,?,?,?
SpacePort Coin SPC SPC,"$0,000000000059",0.1%,-4.5%,3.1%,"$166,43",?
RoboFi Token VICS VICS,"$0,401456",0.8%,-0.3%,-2.7%,"$7 349,58",?
CryptoArt.Ai CART CART,"$0,380113",0.1%,-12.7%,-31.9%,$1 366 639,?
Baby Saitama BABYSAITAMA BABYSAITAMA,"$0,000000000231",5.2%,19.6%,-43.6%,$1 121 703,?
SumSwap SUM SUM,"$0,250356",0.6%,2.3%,-14.1%,$572 095,?
DrakeBall Token DBALL DBALL,"$1,19",0.4%,-7.9%,-16.8%,"$5 331,65",?
Block Creatures MOOLAH MOOLAH,"$0,286472",0.9%,-17.5%,-35.5%,"$1 246,93",?
Lanceria LANC LANC,"$0,014201773273",1.2%,-0.9%,-13.7%,$718 900,?
Ebisu Network EBS EBS,"$9,94",0.6%,0.3%,0.5%,$130 159,?
Viking Legend VIKING VIKING,"$0,000000015079",?,?,?,?,?
Cfoforum Token  CFO CFO,"$0,540819",?,?,?,?,?
Buffalo Swap BUFF BUFF,"$0,005418387877",1.3%,-16.8%,-39.8%,$28 518,?
Assgard ASSG ASSG,"$0,000000000206",?,?,?,?,?
TORG TORG TORG,"$0,002530277900",1.0%,-3.4%,-8.4%,$2 990 595,?
BabyBSC BBSC BBSC,"$0,000000222347",?,?,?,?,?
Chipz CHPZ CHPZ,"$0,083514489451",1.1%,-6.8%,-2.8%,"$425,93",?
ElonTech ETCH ETCH,"$0,000010801677",1.1%,0.8%,-10.6%,$62 328,?
Sunrise SUNC SUNC,"$0,037123317892",,-8.3%,1.9%,$107 348,?
Privi Trax TRAX TRAX,"$0,032194219031",0.8%,-6.6%,-8.0%,"$1 486,88",?
DNAxCAT DXCT DXCT,"$2,25",0.3%,7.1%,17.0%,$2 562 998,?
Gamestarter GAME GAME,"$1,62",3.1%,3.8%,-5.0%,$898 518,?
Diamond Hands Token DHC DHC,"$0,000000181911",?,?,?,?,?
NFTBlackmarket NBM NBM,"$0,000000000000",0.0%,0.0%,-100.0%,"$0,000000000000",?
MCFinance MCF MCF,"$0,043159973508",0.5%,-0.0%,4.9%,$78 489,?
Zooshi ZOOSHI ZOOSHI,"$0,000001251523",,-6.4%,-9.8%,"$63,33",?
BoxerDOGE BOXERDOGE BOXERDOGE,"$0,000000000369",,-5.6%,-5.5%,"$241,34",?
Dexit Finance DXT DXT,"$0,001163517503",2.2%,-11.3%,-26.8%,$34 997,?
StarbaseUniverse SUNI SUNI,"$0,000000000759",1.7%,-4.2%,-13.7%,"$2 572,31",?
Ryoshis Vision RYOSHI RYOSHI,"$0,000000322313",8.1%,21.6%,107.1%,$2 351 146,?
Pylon Eco Token PETN PETN,"$0,698131",-0.2%,0.0%,5.9%,$455 865,?
Baitcoin BAIT BAIT,"$0,000076837519",-0.0%,-6.2%,-13.0%,"$13 751,88",?
Kitsune Inu KITSU KITSU,"$0,000003139297",,4.2%,-16.5%,"$5 523,94",?
Coinary Token CYT CYT,"$0,029730361593",-0.5%,-11.2%,-30.9%,$209 298,?
Madagascar Token $TIME $TIME,"$0,000000003064",0.7%,-9.4%,-9.8%,$62 842,?
Zcon Protocol ZCON ZCON,"$0,310633",0.4%,-0.0%,-0.1%,$46 653,?
BitDAO BIT BIT,"$2,26",1.2%,-4.0%,12.7%,$95 135 997,?
Footie Plus FOOTIE FOOTIE,"$0,004131751260",1.2%,-10.1%,-22.0%,"$2 956,74",?
HeroDoge HERODOGE HERODOGE,"$0,000199475995",1.2%,-4.9%,-5.0%,"$11,67",?
GameX GMX GMX,"$0,000560523263",1.3%,-20.2%,3.4%,"$9 938,66",?
Baby Doug BABYDOUG BABYDOUG,"$0,000000277490",-3.1%,-27.2%,-34.0%,$42 882,?
LoTerra LOTA LOTA,"$1,77",-0.9%,-11.5%,-42.6%,$65 048,?
Varen VRN VRN,"$560,36",7.3%,-10.3%,6.4%,$787 830,?
HiFi Gaming Society HIFI HIFI,"$0,002858129719",0.5%,-6.9%,-9.0%,$43 038,?
MoonBear Finance MBF MBF,"$0,000001215067",0.5%,-6.1%,0.6%,$58 529,?
InfinityCake INCAKE INCAKE,"$0,000000191892",0.3%,-0.5%,0.5%,"$7 136,60",?
Crypto Raiders RAIDER RAIDER,"$1,41",1.7%,-23.2%,58.8%,$947 843,?
PolkaMonster PKMON PKMON,"$0,001684966298",-0.5%,-13.0%,-37.7%,$80 489,?
Immutable DARA DARA,"$0,066551070385",0.8%,-0.7%,-7.7%,$78 819,?
PolyShield SHI3LD SHI3LD,"$0,078784153739",-1.4%,-15.8%,-52.9%,$22 164,?
Rangers Fan Token RFT  RFT,"$0,146737",1.3%,-8.4%,-10.3%,$26 652,?
Baby Falcon Doge BFDOGE BFDOGE,"$0,000000000321",?,?,?,?,?
WhaleStreet $hrimp Token $HRIMP $HRIMP,"$0,058520040503",,-4.8%,-15.1%,"$877,18",?
Ankaragücü Fan Tokens ANKA ANKA,"$0,058065620366",0.6%,-8.6%,-16.5%,$40 488,?
Turkiye Basketbol Federasyonu Token TBFT TBFT,"$0,161369",-0.5%,3.5%,-14.7%,"$6 250,09",?
Karsiyaka Taraftar Token KSK KSK,"$0,052344869591",3.2%,-5.6%,-16.3%,"$6 439,35",?
Eskişehir Fan Tokens ESES ESES,"$0,064072408680",-4.7%,-9.4%,-17.8%,"$15 236,96",?
Yield Yak YAK YAK,"$5 232,86",2.3%,-11.1%,19.0%,$1 215 805,?
BabyLondon BABYLONDON BABYLONDON,"$0,000000002235",?,?,?,?,?
Eloin ELOIN ELOIN,"$0,000000035826",43.0%,48.5%,77.7%,$72 924,?
Boost BOOST BOOST,"$0,255992",1.0%,-19.0%,58.4%,$1 774 568,?
Arsenal Fan Token AFC AFC,"$5,82",-1.3%,107.8%,,$30 523 483,?
SHIB CAKE SHIBCAKE SHIBCAKE,"$0,000000712770",1.2%,-9.2%,-29.9%,"$2 191,55",?
Puppies Network PPN PPN,"$0,000000000256",?,?,?,?,?
Cryptographic Ultra Money CUM CUM,"$0,000000011976",,0.0%,-100.0%,"$0,000000000000",?
Storage Area Network Anywhere SANA  SANA,"$0,013074164536",5.2%,4.0%,-23.7%,$397 593,?
Tengu TENGU TENGU,"$0,001020942092",-1.6%,-9.8%,-10.8%,"$231,81",?
Nuke Token NUKE NUKE,"$0,000000001724",,-6.0%,-39.0%,"$2 744,54",?
Beer Inu BEER BEER,"$0,000000123206",-0.4%,-14.0%,-9.2%,"$3 152,67",?
Wish Finance WISH WISH,"$0,191661",,-6.9%,-13.2%,"$375,61",?
Chainflix CFXT CFXT,"$0,019370232478",7.6%,-2.6%,-4.9%,$246 073,?
Crypto Puffs PUFFS PUFFS,"$0,000135339906",,-6.3%,-8.5%,"$4,74",?
Sukhavati Network SKT SKT,"$0,108875",0.2%,-9.0%,2.0%,$86 873,?
867 867 867,"$0,000000003177",1.4%,-4.0%,-23.6%,$46 019,?
BladeWarrior BLADE BLADE,"$0,685191",-0.3%,-10.0%,-38.9%,$166 757, ?
tEXO TEXO TEXO,"$0,049931538712",-0.9%,1.0%,-1.1%,"$3 073,78",?
TKBToken TKB TKB,"$0,003069093310",0.4%,-6.9%,-57.1%,"$3 466,55",?
Bae BAE BAE,"$1,33",-2.1%,-2.9%,24.5%,$4 027 474,?
Megatech MGT MGT,"$0,007754907423",-0.4%,2.0%,-11.2%,$182 047,?
BabyPenguin BPENG BPENG,"$0,000000034345",?,?,?,?,?
RedShiba REDSHIBA REDSHIBA,"$0,000000000001",1.2%,-0.8%,-26.1%,$25 055,?
EarnBUSD EBUSD EBUSD,"$0,000002691899",,-1.3%,2.6%,"$554,95",?
Tokenplay TOP TOP,"$0,000620469017",0.7%,-9.1%,-67.4%,"$6 575,11",?
Kranz Token KRZ KRZ,"$0,000000843325",1.2%,-0.9%,13.9%,$29 875,?
MoonWilly MOONWILLY MOONWILLY,"$0,000429471296",,-12.7%,-32.6%,"$2 803,56",?
Shiba Chocolate SHOCO SHOCO,"$0,000000000087",?,?,?,?,?
IVOGEL IVG IVG,"$0,000173629804",-13.2%,-7.0%,-25.5%,$48 567,?
Orica ORI ORI,"$0,086157652776",-0.3%,-4.6%,29.0%,$29 385,?
Minifootball MINIFOOTBALL MINIFOOTBALL,"$0,000000000075",0.7%,-6.6%,-34.0%,$85 781,?
Republic of Dogs ROD ROD,"$0,000000000170",,-5.4%,-4.9%,"$177,77",?
Rhinos Finance RHO RHO,"$0,000000019641",0.7%,-4.6%,-29.0%,$59 120,?
Kephi Gallery KPHI KPHI,"$0,111876",1.7%,-2.9%,41.5%,$74 028,?
Super Floki SLOKI SLOKI,"$0,000000000012",1.9%,-6.2%,-27.4%,"$9 289,42",?
Rezerve RZRV RZRV,"$0,058034834882",,-19.7%,-70.0%,"$8 244,99",?
Step Hero HERO HERO,"$0,639011",1.9%,4.4%,-19.5%,$420 826,?
BabyAvengers AVNGRS AVNGRS,"$0,000000100064",?,?,?,?,?
